Cell,Browser,Scenario,Status,ParticipantID_before,ParticipantID_after,TeamID_before,TeamID_after,Country_Flag_preserved,Leader_rights_preserved,Duplicate_rows,Duplicate_credits,Latency_ms,Evidence
26,"iOS Chrome","Two concurrent same-participant requests",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
27,"Android Chrome","Fresh join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
28,"Android Chrome","Slow join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
29,"Android Chrome","Repeated Join tap",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
30,"Android Chrome","Refresh",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
31,"Android Chrome","Background 30 seconds",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
32,"Android Chrome","Background 5 minutes",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
33,"Android Chrome","Screen lock and unlock",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
34,"Android Chrome","Browser closed and reopened",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
35,"Android Chrome","Network lost and restored",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
36,"Android Chrome","Same-name re-login",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
37,"Android Chrome","Leader reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
38,"Android Chrome","Member reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
39,"Android Chrome","Two concurrent same-participant requests",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
40,"Samsung Internet","Fresh join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
41,"Samsung Internet","Slow join",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
42,"Samsung Internet","Repeated Join tap",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
43,"Samsung Internet","Refresh",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
44,"Samsung Internet","Background 30 seconds",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
45,"Samsung Internet","Background 5 minutes",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
46,"Samsung Internet","Screen lock and unlock",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
47,"Samsung Internet","Browser closed and reopened",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
48,"Samsung Internet","Network lost and restored",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
49,"Samsung Internet","Same-name re-login",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
50,"Samsung Internet","Leader reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
51,"Samsung Internet","Member reconnect",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
52,"Samsung Internet","Two concurrent same-participant requests",BLOCKED,,,,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,Physical device and production test event unavailable
